metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
6;25194;158;346;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_galco_com""}";35.34990930557251;16.06806254386902;15.598018884658813;16.899367366518295;18.15459157625834;19.792295866542393;1.9079141879020811;7.706310491420589
6;25194;158;346;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE"", ""spider_name"": ""plp_galco_com""}";50.11048269271851;69.66219711303711;66.18864432970683;69.32382127216884;76.3036645412445;76.51874640252855;6.54400651773637;11.61513074297851
4;25194;158;346;;1878;1888;1896.3333333333333;1896;1883.4;1825.3793103448277;8.815570640309435;143.1130283457205
31;25194;158;346;;100;100;100;100;100;100;0;0
34;25194;158;346;;1;1;1;1;1;1;0;0
26;25194;158;346;;0;0;0;0;0;0;0;0
2;25194;158;346;;1878;1888;1896.3333333333333;1896;1883.4;1825.3793103448277;8.815570640309435;143.1130283457205
32;25194;158;346;;100;100;100;100;100;100;0;0
28;25194;158;346;;100;100;100;100;100;100;0;0
30;25194;158;346;;100;100;100;100;100;100;0;0
13;25271;117;244;"{""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_netshoes_com_br""}";0.4;0;0;0;0.0006666666666666666;0.000625;0;0.0024206145913796356
13;25271;117;244;"{""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_netshoes_com_br""}";4.55;0;0;0;0;0;0;0
35;25271;117;244;;285;284;282.6666666666667;282.2857142857143;281.06666666666666;281.42857142857144;1.2777531299998799;5.381373771953532
36;25271;117;244;;285;284;282.6666666666667;282.2857142857143;281.06666666666666;281.42857142857144;1.2777531299998799;5.381373771953532
14;25271;117;244;;0.00016398819285011479;0.0029590406478741628;0.0035784791143570354;0.0016529798374426694;0.0008952815097093815;0.0008393264153525452;0.001702860354460627;0.0013569100771381056
10;25271;117;244;;0.9998360118071499;0.9968852203706587;0.9963696078918206;0.9983247717366334;0.99907370882882;0.9991316020270187;0.0017207030353655576;0.0013625940933375063
11;25271;117;244;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_netshoes_com_br""}";0.9362919330596924;0.942981481552124;0.9554783503214518;0.9590084212166923;0.9625933806101481;0.9617816805839539;0.01596344735905345;0.024668481903477046
11;25271;117;244;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_netshoes_com_br""}";2.075005769729614;2.161839723587036;1.997442404429118;1.9650591782161169;1.7965128103892007;1.8052595555782318;0.27837470018343147;0.3547883685604496
6;25271;117;244;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_netshoes_com_br""}";1.713474750518799;1.726150512695312;1.8370683193206787;1.7567248003823417;1.727099847793579;1.718275845050812;0.20641368573823216;0.19042854014792368
6;25271;117;244;"{""percentile"": ""p95"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""plp_netshoes_com_br""}";3.523346185684204;3.25843071937561;3.460463364919027;3.132096324648176;3.2647364298502604;3.292421653866768;0.4650099670686154;0.5025752712150542
34;25271;117;244;;285;284;282.6666666666667;282.2857142857143;281.06666666666666;281.42857142857144;1.2777531299998799;5.381373771953532
3;25285;152;335;;84;81;78.33333333333333;85;81.06666666666666;82.55172413793103;9.797958971132712;8.315279690887927
16;25260;181;430;;0;0;0;0.2814285714285714;0.13133333333333333;0.07576923076923077;0.6893563990404087;0.37884615384615383
